Posição;Antecedente;Consequente;Suporte;Confiança;Lift;Leverage;Conviction;Classificação;Justificativa
11;FAIXA_CREDITO__CREDITO_MEDIO + FAIXA_RENDA__RENDA_ALTA;SITUACAO_FAMILIAR__SOLTEIRO;0.010000;0.16;1.05;0;1.01;ÓBVIA;"É uma das direções do mesmo itemset renda alta, crédito médio e situação solteira já representado pela regra 4; não deve ser contado como nova descoberta."
12;SITUACAO_FAMILIAR__SOLTEIRO;FAIXA_CREDITO__CREDITO_MEDIO + FAIXA_RENDA__RENDA_ALTA;0.010000;0.07;1.05;0;1;ÓBVIA;Inverte a regra 11, com confiança de 7%, e apenas reexpressa a mesma coocorrência.
13;POSSE_CARRO__COM_CARRO + SITUACAO_FAMILIAR__SOLTEIRO;FAIXA_CREDITO__CREDITO_MEDIO;0.010000;0.24;0.99;-0;0.99;ÓBVIA;"Lift de 0,99 é praticamente independência; posse de carro e situação solteira não oferecem evidência útil de associação com crédito médio."
14;FAIXA_CREDITO__CREDITO_MEDIO;POSSE_CARRO__COM_CARRO + SITUACAO_FAMILIAR__SOLTEIRO;0.010000;0.04;0.99;-0;1;ÓBVIA;É a inversão da regra 13, também próxima da independência e com confiança de 4%.
15;FAIXA_IDADE__IDADE_21_A_29 + FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ATE_25_PCT;SITUACAO_FAMILIAR__CASADO_OU_UNIAO_CIVIL;0.010000;0.71;0.98;-0;0.92;ÓBVIA;"A confiança de 71% acompanha a alta frequência de casado/união civil na amostra; o Lift 0,98 não sustenta associação positiva específica."
16;SITUACAO_FAMILIAR__CASADO_OU_UNIAO_CIVIL;FAIXA_IDADE__IDADE_21_A_29 + FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ATE_25_PCT;0.010000;0.01;0.98;-0;1;ÓBVIA;É a direção inversa da regra 15, com confiança de 1%, e não supera a explicação pela frequência predominante de casado/união civil.
17;FAIXA_CREDITO__CREDITO_MEDIO + SITUACAO_FAMILIAR__SOLTEIRO;FAIXA_RENDA__RENDA_ALTA;0.010000;0.25;0.97;-0;0.99;ÓBVIA;"Reorganiza os mesmos itens das regras 4 e 11; Lift 0,97 não indica associação positiva relevante."
18;FAIXA_RENDA__RENDA_ALTA;FAIXA_CREDITO__CREDITO_MEDIO + SITUACAO_FAMILIAR__SOLTEIRO;0.010000;0.04;0.97;-0;1;ÓBVIA;"Inverte a regra 17, com confiança de 4% e Lift 0,97; não há descoberta adicional."
19;FAIXA_RENDA__RENDA_MUITO_ALTA + FAIXA_IDADE__IDADE_30_A_39;FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ATE_25_PCT;0.010000;0.15;0.95;-0;0.99;ÓBVIA;Lift 0,95 indica associação negativa leve, praticamente independente, entre renda muito alta, idade de 30 a 39 anos e rejeição prévia moderada.
20;FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ATE_25_PCT;FAIXA_RENDA__RENDA_MUITO_ALTA + FAIXA_IDADE__IDADE_30_A_39;0.010000;0.07;0.95;-0;1;ÓBVIA;"É a direção inversa da regra 19 e mantém Lift 0,95 e confiança de 7%; não configura padrão novo."
